Dataset,Group,Augmentation_Method,Forecasting_Model,Training_Mode,MASE,Train_Size,Test_Size,Status
M3,Monthly,Scaling,MLP,TSTR,0.858830481,99981,9588,Success
M3,Monthly,Scaling,KAN,Train+Real,0.796171655,199962,9588,Success
M3,Monthly,Scaling,KAN,TSTR,0.903333008,99981,9588,Success
M3,Monthly,TimeWarping,NHITS,Train+Real,0.772672816,199962,9588,Success
M3,Monthly,TimeWarping,NHITS,TSTR,0.980568088,99981,9588,Success
M3,Monthly,TimeWarping,MLP,Train+Real,0.770700094,199962,9588,Success
M3,Monthly,TimeWarping,MLP,TSTR,0.949276407,99981,9588,Success
M3,Monthly,TimeWarping,KAN,Train+Real,0.803787275,199962,9588,Success
M3,Monthly,TimeWarping,KAN,TSTR,0.954322995,99981,9588,Success
M3,Monthly,MagnitudeWarping,NHITS,Train+Real,0.774124458,199962,9588,Success
M3,Monthly,MagnitudeWarping,NHITS,TSTR,0.829258897,99981,9588,Success
M3,Monthly,MagnitudeWarping,MLP,Train+Real,0.774201827,199962,9588,Success
M3,Monthly,MagnitudeWarping,MLP,TSTR,0.815042648,99981,9588,Success
M3,Monthly,MagnitudeWarping,KAN,Train+Real,0.797047725,199962,9588,Success
M3,Monthly,MagnitudeWarping,KAN,TSTR,0.83637623,99981,9588,Success
M3,Monthly,TSMixup,NHITS,Train+Real,0.762230384,191041,9588,Success
M3,Monthly,TSMixup,NHITS,TSTR,0.831364344,91060,9588,Success
M3,Monthly,TSMixup,MLP,Train+Real,0.763717705,191041,9588,Success
M3,Monthly,TSMixup,MLP,TSTR,0.787167835,91060,9588,Success
M3,Monthly,TSMixup,KAN,Train+Real,0.775978216,191041,9588,Success
M3,Monthly,TSMixup,KAN,TSTR,0.78198986,91060,9588,Success
M3,Monthly,DBA,NHITS,Train+Real,0.784702262,203471,9588,Success
M3,Monthly,DBA,NHITS,TSTR,0.833544372,103490,9588,Success
M3,Monthly,DBA,MLP,Train+Real,0.786739375,203471,9588,Success
M3,Monthly,DBA,MLP,TSTR,0.7993324,103490,9588,Success
M3,Monthly,DBA,KAN,Train+Real,0.779198804,203471,9588,Success
M3,Monthly,DBA,KAN,TSTR,0.798243731,103490,9588,Success
M3,Quarterly,Grasynda_Uniform,NHITS,Train+Real,1.197793032,60152,5616,Success
M3,Quarterly,Grasynda_Uniform,NHITS,TSTR,1.179308851,30076,5616,Success
M3,Quarterly,Grasynda_Uniform,MLP,Train+Real,1.183944052,60152,5616,Success
M3,Quarterly,Grasynda_Uniform,MLP,TSTR,1.161902467,30076,5616,Success
M3,Quarterly,Grasynda_Uniform,KAN,Train+Real,1.222412986,60152,5616,Success
M3,Quarterly,Grasynda_Uniform,KAN,TSTR,1.208845537,30076,5616,Success
M3,Quarterly,Grasynda_Vis_Horizontal,NHITS,Train+Real,1.186161728,60152,5616,Success
M3,Quarterly,Grasynda_Vis_Horizontal,NHITS,TSTR,1.196997485,30076,5616,Success
M3,Quarterly,Grasynda_Vis_Horizontal,MLP,Train+Real,1.187028039,60152,5616,Success
M3,Quarterly,Grasynda_Vis_Horizontal,MLP,TSTR,1.164480722,30076,5616,Success
M3,Quarterly,Grasynda_Vis_Horizontal,KAN,Train+Real,1.215316537,60152,5616,Success
M3,Quarterly,Grasynda_Vis_Horizontal,KAN,TSTR,1.203338055,30076,5616,Success
M3,Quarterly,Grasynda_Vis_Natural,NHITS,Train+Real,1.218348778,60152,5616,Success
M3,Quarterly,Grasynda_Vis_Natural,NHITS,TSTR,1.225740985,30076,5616,Success
M3,Quarterly,Grasynda_Vis_Natural,MLP,Train+Real,1.182307881,60152,5616,Success
M3,Quarterly,Grasynda_Vis_Natural,MLP,TSTR,1.208647046,30076,5616,Success
M3,Quarterly,Grasynda_Vis_Natural,KAN,Train+Real,1.234608214,60152,5616,Success
M3,Quarterly,Grasynda_Vis_Natural,KAN,TSTR,1.242591099,30076,5616,Success
M3,Quarterly,SeasonalMBB,NHITS,Train+Real,1.206016738,60152,5616,Success
M3,Quarterly,SeasonalMBB,NHITS,TSTR,1.214002151,30076,5616,Success
M3,Quarterly,SeasonalMBB,MLP,Train+Real,1.160577814,60152,5616,Success
M3,Quarterly,SeasonalMBB,MLP,TSTR,1.224005896,30076,5616,Success
M3,Quarterly,SeasonalMBB,KAN,Train+Real,1.198968011,60152,5616,Success
M3,Quarterly,SeasonalMBB,KAN,TSTR,1.236770666,30076,5616,Success
M3,Quarterly,Jittering,NHITS,Train+Real,1.16904349,60152,5616,Success
M3,Quarterly,Jittering,NHITS,TSTR,1.188899302,30076,5616,Success
M3,Quarterly,Jittering,MLP,Train+Real,1.150963022,60152,5616,Success
M3,Quarterly,Jittering,MLP,TSTR,1.158104495,30076,5616,Success
M3,Quarterly,Jittering,KAN,Train+Real,1.222791778,60152,5616,Success
M3,Quarterly,Jittering,KAN,TSTR,1.22964493,30076,5616,Success
M3,Quarterly,Scaling,NHITS,Train+Real,1.097711373,60152,5616,Success
M3,Quarterly,Scaling,NHITS,TSTR,1.241247694,30076,5616,Success
M3,Quarterly,Scaling,MLP,Train+Real,1.107347677,60152,5616,Success
M3,Quarterly,Scaling,MLP,TSTR,1.233665457,30076,5616,Success
M3,Quarterly,Scaling,KAN,Train+Real,1.153599891,60152,5616,Success
M3,Quarterly,Scaling,KAN,TSTR,1.272106426,30076,5616,Success
M3,Quarterly,TimeWarping,NHITS,Train+Real,1.129340589,60152,5616,Success
